iter	Passed	Remaining
523	2673162	2428292
524	2677665	2422649
525	2682340	2417166
526	2686838	2411527
527	2691118	2405697
528	2695508	2399970
529	2700103	2394431
530	2704866	2389043
531	2709813	2383820
532	2714700	2378546
533	2720116	2373734
534	2725445	2368844
535	2730495	2363712
536	2735729	2358738
537	2741655	2354358
538	2747951	2350288
539	2753786	2345818
540	2759474	2341218
541	2765120	2336578
542	2770587	2331783
543	2775621	2326623
544	2780919	2321685
545	2785937	2316512
546	2790876	2311274
547	2796122	2306290
548	2801510	2301422
549	2806813	2296483
550	2811685	2291192
551	2816393	2285768
552	2820894	2280180
553	2825623	2274779
554	2829848	2268977
555	2834536	2263551
556	2838811	2257797
557	2843532	2252403
558	2847780	2246638
559	2852049	2240895
560	2856215	2235077
561	2860595	2229432
562	2865017	2223823
563	2869462	2218236
564	2874339	2212987
565	2878585	2207254
566	2883286	2201874
567	2887589	2196194
568	2891851	2190488
569	2896606	2185159
570	2900895	2179482
571	2906059	2174464
572	2910883	2169192
573	2915203	2163547
574	2919703	2158041
575	2924352	2152648
576	2928845	2147143
577	2933426	2141705
578	2937940	2136222
579	2943285	2131344
580	2947470	2125628
581	2951829	2120042
582	2955999	2114325
583	2960444	2108810
584	2964628	2103112
585	2969257	2097734
586	2973642	2092188
587	2977970	2086604
588	2982236	2080983
589	2986510	2075371
590	2990895	2069841
591	2995531	2064487
592	3000534	2059389
593	3005035	2053946
594	3009607	2048556
595	3013809	2042917
596	3018338	2037504
597	3022820	2032063
598	3027071	2026470
599	3031728	2021152
600	3036148	2015679
601	3040498	2010163
602	3044811	2004627
603	3049161	1999119
604	3053517	1993618
605	3057835	1988097
606	3062114	1982555
607	3066385	1977011
608	3070671	1971482
609	3075745	1966459
610	3080222	1961058
611	3084643	1955623
612	3088914	1950097
613	3093235	1944607
614	3097379	1939009
615	3102005	1933717
616	3107019	1928668
617	3111624	1923366
618	3116180	1918036
619	3120792	1912743
620	3125263	1907366
621	3129821	1902045
622	3134148	1896587
623	3138487	1891139
624	3143022	1885813
625	3148011	1880760
626	3152343	1875317
627	3156515	1869782
628	3160829	1864336
629	3165211	1858933
630	3169476	1853465
631	3173718	1847988
632	3177951	1842508
633	3182539	1837238
634	3186834	1831802
635	3191561	1826616
636	3196911	1821787
637	3201724	1816652
638	3206298	1811383
639	3210669	1806001
640	3215199	1800712
641	3219673	1795394
642	3224506	1790278
643	3228842	1784888
644	3233190	1779507
645	3237318	1774010
646	3241647	1768627
647	3245808	1763154
648	3250155	1757788
649	3254797	1752583
650	3259229	1747267
651	3263507	1741871
652	3267972	1736579
653	3272215	1731171
654	3276643	1725865
655	3280900	1720472
656	3285202	1715105
657	3290509	1710264
658	3294883	1704939
659	3299388	1699684
660	3303658	1694311
661	3307990	1688974
662	3312156	1683554
663	3316483	1678220
664	3321611	1673292
665	3326044	1668016
666	3330268	1662637
